emojiDescription,streamApiEncodings,restApiEncodings
SAGITTARIUS,<e2><99><90>,<e2><99><90>
SAILBOAT,<e2><9b><b5>,<e2><9b><b5>
SAKE BOTTLE AND CUP,<ed><a0><bc><ed><bd><b6>,<f0><9f><8d><b6>
SATELLITE ANTENNA,<ed><a0><bd><ed><b3><a1>,<f0><9f><93><a1>
SAXOPHONE,<ed><a0><bc><ed><be><b7>,<f0><9f><8e><b7>
SCHOOL,<ed><a0><bc><ed><bf><ab>,<f0><9f><8f><ab>
SCHOOL SATCHEL,<ed><a0><bc><ed><be><92>,<f0><9f><8e><92>
SCORPIUS,<e2><99><8f>,<e2><99><8f>
SCROLL,<ed><a0><bd><ed><b3><9c>,<f0><9f><93><9c>
SEAT,<ed><a0><bd><ed><b2><ba>,<f0><9f><92><ba>
SEE-NO-EVIL MONKEY,<ed><a0><bd><ed><b9><88>,<f0><9f><99><88>
SEEDLING,<ed><a0><bc><ed><bc><b1>,<f0><9f><8c><b1>
SHAVED ICE,<ed><a0><bc><ed><bd><a7>,<f0><9f><8d><a7>
SHEEP,<ed><a0><bd><ed><b0><91>,<f0><9f><90><91>
SHIP,<ed><a0><bd><ed><ba><a2>,<f0><9f><9a><a2>
