emojiDescription,streamApiEncodings,restApiEncodings
AERIAL TRAMWAY,<ed><a0><bd><ed><ba><a1>,<f0><9f><9a><a1>
AIRPLANE,<e2><9c><88>,<e2><9c><88>
ALARM CLOCK,<e2><8f><b0>,<e2><8f><b0>
ALIEN MONSTER,<ed><a0><bd><ed><b1><be>,<f0><9f><91><be>
AMBULANCE,<ed><a0><bd><ed><ba><91>,<f0><9f><9a><91>
AMERICAN FOOTBALL,<ed><a0><bc><ed><bf><88>,<f0><9f><8f><88>
ANCHOR,<e2><9a><93>,<e2><9a><93>
ANGER SYMBOL,<ed><a0><bd><ed><b2><a2>,<f0><9f><92><a2>
ANGRY FACE,<ed><a0><bd><ed><b8><a0>,<f0><9f><98><a0>
ANGUISHED FACE,<ed><a0><bd><ed><b8><a7>,<f0><9f><98><a7>
ANT,<ed><a0><bd><ed><b0><9c>,<f0><9f><90><9c>
ANTENNA WITH BARS,<ed><a0><bd><ed><b3><b6>,<f0><9f><93><b6>
ANTICLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS,<ed><a0><bd><ed><b4><84>,<f0><9f><94><84>
AQUARIUS,<e2><99><92>,<e2><99><92>
ARIES,<e2><99><88>,<e2><99><88>
ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS,<e2><a4><b5>,<e2><a4><b5>
ARROW POINTING RIGHTWARDS THEN CURVING UPWARDS,<e2><a4><b4>,<e2><a4><b4>
ARTICULATED LORRY,<ed><a0><bd><ed><ba><9b>,<f0><9f><9a><9b>
ARTIST PALETTE,<ed><a0><bc><ed><be><a8>,<f0><9f><8e><a8>
ASTONISHED FACE,<ed><a0><bd><ed><b8><b2>,<f0><9f><98><b2>
ATHLETIC SHOE,<ed><a0><bd><ed><b1><9f>,<f0><9f><91><9f>
AUBERGINE,<ed><a0><bc><ed><bd><86>,<f0><9f><8d><86>
AUTOMATED TELLER MACHINE,<ed><a0><bc><ed><bf><a7>,<f0><9f><8f><a7>
AUTOMOBILE,<ed><a0><bd><ed><ba><97>,<f0><9f><9a><97>
BABY,<ed><a0><bd><ed><b1><b6>,<f0><9f><91><b6>
BABY ANGEL,<ed><a0><bd><ed><b1><bc>,<f0><9f><91><bc>
BABY BOTTLE,<ed><a0><bc><ed><bd><bc>,<f0><9f><8d><bc>
BABY CHICK,<ed><a0><bd><ed><b0><a4>,<f0><9f><90><a4>
BABY SYMBOL,<ed><a0><bd><ed><ba><bc>,<f0><9f><9a><bc>
BACK WITH LEFTWARDS ARROW ABOVE,<ed><a0><bd><ed><b4><99>,<f0><9f><94><99>
BACTRIAN CAMEL,<ed><a0><bd><ed><b0><ab>,<f0><9f><90><ab>
BAGGAGE CLAIM,<ed><a0><bd><ed><bb><84>,<f0><9f><9b><84>
BALLOON,<ed><a0><bc><ed><be><88>,<f0><9f><8e><88>
BALLOT BOX WITH CHECK,<e2><98><91>,<e2><98><91>
BANANA,<ed><a0><bc><ed><bd><8c>,<f0><9f><8d><8c>
BANK,<ed><a0><bc><ed><bf><a6>,<f0><9f><8f><a6>
BANKNOTE WITH DOLLAR SIGN,<ed><a0><bd><ed><b2><b5>,<f0><9f><92><b5>
BANKNOTE WITH EURO SIGN,<ed><a0><bd><ed><b2><b6>,<f0><9f><92><b6>
BANKNOTE WITH POUND SIGN,<ed><a0><bd><ed><b2><b7>,<f0><9f><92><b7>
BANKNOTE WITH YEN SIGN,<ed><a0><bd><ed><b2><b4>,<f0><9f><92><b4>
BAR CHART,<ed><a0><bd><ed><b3><8a>,<f0><9f><93><8a>
BARBER POLE,<ed><a0><bd><ed><b2><88>,<f0><9f><92><88>
BASEBALL,<e2><9a><be>,<e2><9a><be>
BASKETBALL AND HOOP,<ed><a0><bc><ed><bf><80>,<f0><9f><8f><80>
BATH,<ed><a0><bd><ed><bb><80>,<f0><9f><9b><80>
BATHTUB,<ed><a0><bd><ed><bb><81>,<f0><9f><9b><81>
BATTERY,<ed><a0><bd><ed><b4><8b>,<f0><9f><94><8b>
BEAR FACE,<ed><a0><bd><ed><b0><bb>,<f0><9f><90><bb>
BEATING HEART,<ed><a0><bd><ed><b2><93>,<f0><9f><92><93>
BEER MUG,<ed><a0><bc><ed><bd><ba>,<f0><9f><8d><ba>
BELL,<ed><a0><bd><ed><b4><94>,<f0><9f><94><94>
BELL WITH CANCELLATION STROKE,<ed><a0><bd><ed><b4><95>,<f0><9f><94><95>
BENTO BOX,<ed><a0><bc><ed><bd><b1>,<f0><9f><8d><b1>
BICYCLE,<ed><a0><bd><ed><ba><b2>,<f0><9f><9a><b2>
BICYCLIST,<ed><a0><bd><ed><ba><b4>,<f0><9f><9a><b4>
BIKINI,<ed><a0><bd><ed><b1><99>,<f0><9f><91><99>
BILLIARDS,<ed><a0><bc><ed><be><b1>,<f0><9f><8e><b1>
BIRD,<ed><a0><bd><ed><b0><a6>,<f0><9f><90><a6>
BIRTHDAY CAKE,<ed><a0><bc><ed><be><82>,<f0><9f><8e><82>
BLACK CLUB SUIT,<e2><99><a3>,<e2><99><a3>
BLACK DIAMOND SUIT,<e2><99><a6>,<e2><99><a6>
BLACK DOWN-POINTING DOUBLE TRIANGLE,<e2><8f><ac>,<e2><8f><ac>
BLACK HEART SUIT,<e2><99><a5>,<e2><99><a5>
BLACK LARGE SQUARE,<e2><ac><9b>,<e2><ac><9b>
BLACK LEFT-POINTING DOUBLE TRIANGLE,<e2><8f><aa>,<e2><8f><aa>
BLACK LEFT-POINTING TRIANGLE,<e2><97><80>,<e2><97><80>
BLACK MEDIUM SMALL SQUARE,<e2><97><be>,<e2><97><be>
BLACK MEDIUM SQUARE,<e2><97><bc>,<e2><97><bc>
BLACK NIB,<e2><9c><92>,<e2><9c><92>
BLACK QUESTION MARK ORNAMENT,<e2><9d><93>,<e2><9d><93>
BLACK RIGHT-POINTING DOUBLE TRIANGLE,<e2><8f><a9>,<e2><8f><a9>
BLACK RIGHT-POINTING TRIANGLE,<e2><96><b6>,<e2><96><b6>
BLACK RIGHTWARDS ARROW,<e2><9e><a1>,<e2><9e><a1>
BLACK SCISSORS,<e2><9c><82>,<e2><9c><82>
BLACK SMALL SQUARE,<e2><96><aa>,<e2><96><aa>
BLACK SPADE SUIT,<e2><99><a0>,<e2><99><a0>
BLACK SQUARE BUTTON,<ed><a0><bd><ed><b4><b2>,<f0><9f><94><b2>
BLACK SUN WITH RAYS,<e2><98><80>,<e2><98><80>
BLACK TELEPHONE,<e2><98><8e>,<e2><98><8e>
BLACK UNIVERSAL RECYCLING SYMBOL,<e2><99><bb>,<e2><99><bb>
BLACK UP-POINTING DOUBLE TRIANGLE,<e2><8f><ab>,<e2><8f><ab>
BLOSSOM,<ed><a0><bc><ed><bc><bc>,<f0><9f><8c><bc>
BLOWFISH,<ed><a0><bd><ed><b0><a1>,<f0><9f><90><a1>
BLUE BOOK,<ed><a0><bd><ed><b3><98>,<f0><9f><93><98>
BLUE HEART,<ed><a0><bd><ed><b2><99>,<f0><9f><92><99>
BOAR,<ed><a0><bd><ed><b0><97>,<f0><9f><90><97>
BOMB,<ed><a0><bd><ed><b2><a3>,<f0><9f><92><a3>
BOOKMARK,<ed><a0><bd><ed><b4><96>,<f0><9f><94><96>
BOOKMARK TABS,<ed><a0><bd><ed><b3><91>,<f0><9f><93><91>
BOOKS,<ed><a0><bd><ed><b3><9a>,<f0><9f><93><9a>
BOUQUET,<ed><a0><bd><ed><b2><90>,<f0><9f><92><90>
BOWLING,<ed><a0><bc><ed><be><b3>,<f0><9f><8e><b3>
BOY,<ed><a0><bd><ed><b1><a6>,<f0><9f><91><a6>
BREAD,<ed><a0><bc><ed><bd><9e>,<f0><9f><8d><9e>
BRIDE WITH VEIL,<ed><a0><bd><ed><b1><b0>,<f0><9f><91><b0>
BRIDGE AT NIGHT,<ed><a0><bc><ed><bc><89>,<f0><9f><8c><89>
BRIEFCASE,<ed><a0><bd><ed><b2><bc>,<f0><9f><92><bc>
BROKEN HEART,<ed><a0><bd><ed><b2><94>,<f0><9f><92><94>
BUG,<ed><a0><bd><ed><b0><9b>,<f0><9f><90><9b>
BUS,<ed><a0><bd><ed><ba><8c>,<f0><9f><9a><8c>
BUS STOP,<ed><a0><bd><ed><ba><8f>,<f0><9f><9a><8f>
BUST IN SILHOUETTE,<ed><a0><bd><ed><b1><a4>,<f0><9f><91><a4>
BUSTS IN SILHOUETTE,<ed><a0><bd><ed><b1><a5>,<f0><9f><91><a5>
CACTUS,<ed><a0><bc><ed><bc><b5>,<f0><9f><8c><b5>
CALENDAR,<ed><a0><bd><ed><b3><85>,<f0><9f><93><85>
CAMERA,<ed><a0><bd><ed><b3><b7>,<f0><9f><93><b7>
CANCER,<e2><99><8b>,<e2><99><8b>
CANDY,<ed><a0><bc><ed><bd><ac>,<f0><9f><8d><ac>
CAPRICORN,<e2><99><91>,<e2><99><91>
CARD INDEX,<ed><a0><bd><ed><b3><87>,<f0><9f><93><87>
CAROUSEL HORSE,<ed><a0><bc><ed><be><a0>,<f0><9f><8e><a0>
CARP STREAMER,<ed><a0><bc><ed><be><8f>,<f0><9f><8e><8f>
CAT,<ed><a0><bd><ed><b0><88>,<f0><9f><90><88>
CAT FACE,<ed><a0><bd><ed><b0><b1>,<f0><9f><90><b1>
CAT FACE WITH TEARS OF JOY,<ed><a0><bd><ed><b8><b9>,<f0><9f><98><b9>
CAT FACE WITH WRY SMILE,<ed><a0><bd><ed><b8><bc>,<f0><9f><98><bc>
CHART WITH DOWNWARDS TREND,<ed><a0><bd><ed><b3><89>,<f0><9f><93><89>
CHART WITH UPWARDS TREND,<ed><a0><bd><ed><b3><88>,<f0><9f><93><88>
CHART WITH UPWARDS TREND AND YEN SIGN,<ed><a0><bd><ed><b2><b9>,<f0><9f><92><b9>
CHEERING MEGAPHONE,<ed><a0><bd><ed><b3><a3>,<f0><9f><93><a3>
CHEQUERED FLAG,<ed><a0><bc><ed><bf><81>,<f0><9f><8f><81>
CHERRIES,<ed><a0><bc><ed><bd><92>,<f0><9f><8d><92>
CHERRY BLOSSOM,<ed><a0><bc><ed><bc><b8>,<f0><9f><8c><b8>
CHESTNUT,<ed><a0><bc><ed><bc><b0>,<f0><9f><8c><b0>
CHICKEN,<ed><a0><bd><ed><b0><94>,<f0><9f><90><94>
CHILDREN CROSSING,<ed><a0><bd><ed><ba><b8>,<f0><9f><9a><b8>
CHOCOLATE BAR,<ed><a0><bc><ed><bd><ab>,<f0><9f><8d><ab>
CHRISTMAS TREE,<ed><a0><bc><ed><be><84>,<f0><9f><8e><84>
CHURCH,<e2><9b><aa>,<e2><9b><aa>
CINEMA,<ed><a0><bc><ed><be><a6>,<f0><9f><8e><a6>
CIRCLED IDEOGRAPH ACCEPT,<ed><a0><bc><ed><b9><91>,<f0><9f><89><91>
CIRCLED IDEOGRAPH ADVANTAGE,<ed><a0><bc><ed><b9><90>,<f0><9f><89><90>
CIRCLED IDEOGRAPH CONGRATULATION,<e3><8a><97>,<e3><8a><97>
CIRCLED IDEOGRAPH SECRET,<e3><8a><99>,<e3><8a><99>
CIRCLED LATIN CAPITAL LETTER M,<e2><93><82>,<e2><93><82>
CIRCUS TENT,<ed><a0><bc><ed><be><aa>,<f0><9f><8e><aa>
CITYSCAPE AT DUSK,<ed><a0><bc><ed><bc><86>,<f0><9f><8c><86>
CLAPPER BOARD,<ed><a0><bc><ed><be><ac>,<f0><9f><8e><ac>
CLAPPING HANDS SIGN,<ed><a0><bd><ed><b1><8f>,<f0><9f><91><8f>
CLINKING BEER MUGS,<ed><a0><bc><ed><bd><bb>,<f0><9f><8d><bb>
CLIPBOARD,<ed><a0><bd><ed><b3><8b>,<f0><9f><93><8b>
CLOCK FACE EIGHT OCLOCK,<ed><a0><bd><ed><b5><97>,<f0><9f><95><97>
CLOCK FACE EIGHT-THIRTY,<ed><a0><bd><ed><b5><a3>,<f0><9f><95><a3>
CLOCK FACE ELEVEN OCLOCK,<ed><a0><bd><ed><b5><9a>,<f0><9f><95><9a>
CLOCK FACE ELEVEN-THIRTY,<ed><a0><bd><ed><b5><a6>,<f0><9f><95><a6>
CLOCK FACE FIVE OCLOCK,<ed><a0><bd><ed><b5><94>,<f0><9f><95><94>
CLOCK FACE FIVE-THIRTY,<ed><a0><bd><ed><b5><a0>,<f0><9f><95><a0>
CLOCK FACE FOUR OCLOCK,<ed><a0><bd><ed><b5><93>,<f0><9f><95><93>
CLOCK FACE FOUR-THIRTY,<ed><a0><bd><ed><b5><9f>,<f0><9f><95><9f>
CLOCK FACE NINE OCLOCK,<ed><a0><bd><ed><b5><98>,<f0><9f><95><98>
CLOCK FACE NINE-THIRTY,<ed><a0><bd><ed><b5><a4>,<f0><9f><95><a4>
CLOCK FACE ONE OCLOCK,<ed><a0><bd><ed><b5><90>,<f0><9f><95><90>
CLOCK FACE ONE-THIRTY,<ed><a0><bd><ed><b5><9c>,<f0><9f><95><9c>
CLOCK FACE SEVEN OCLOCK,<ed><a0><bd><ed><b5><96>,<f0><9f><95><96>
CLOCK FACE SEVEN-THIRTY,<ed><a0><bd><ed><b5><a2>,<f0><9f><95><a2>
CLOCK FACE SIX OCLOCK,<ed><a0><bd><ed><b5><95>,<f0><9f><95><95>
CLOCK FACE SIX-THIRTY,<ed><a0><bd><ed><b5><a1>,<f0><9f><95><a1>
CLOCK FACE TEN OCLOCK,<ed><a0><bd><ed><b5><99>,<f0><9f><95><99>
CLOCK FACE TEN-THIRTY,<ed><a0><bd><ed><b5><a5>,<f0><9f><95><a5>
CLOCK FACE THREE OCLOCK,<ed><a0><bd><ed><b5><92>,<f0><9f><95><92>
CLOCK FACE THREE-THIRTY,<ed><a0><bd><ed><b5><9e>,<f0><9f><95><9e>
CLOCK FACE TWELVE OCLOCK,<ed><a0><bd><ed><b5><9b>,<f0><9f><95><9b>
CLOCK FACE TWELVE-THIRTY,<ed><a0><bd><ed><b5><a7>,<f0><9f><95><a7>
CLOCK FACE TWO OCLOCK,<ed><a0><bd><ed><b5><91>,<f0><9f><95><91>
CLOCK FACE TWO-THIRTY,<ed><a0><bd><ed><b5><9d>,<f0><9f><95><9d>
CLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS,<ed><a0><bd><ed><b4><83>,<f0><9f><94><83>
CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS,<ed><a0><bd><ed><b4><81>,<f0><9f><94><81>
CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS WITH CIRCLED ONE OVERLAY,<ed><a0><bd><ed><b4><82>,<f0><9f><94><82>
CLOSED BOOK,<ed><a0><bd><ed><b3><95>,<f0><9f><93><95>
CLOSED LOCK WITH KEY,<ed><a0><bd><ed><b4><90>,<f0><9f><94><90>
CLOSED MAILBOX WITH LOWERED FLAG,<ed><a0><bd><ed><b3><aa>,<f0><9f><93><aa>
CLOSED MAILBOX WITH RAISED FLAG,<ed><a0><bd><ed><b3><ab>,<f0><9f><93><ab>
CLOSED UMBRELLA,<ed><a0><bc><ed><bc><82>,<f0><9f><8c><82>
CLOUD,<e2><98><81>,<e2><98><81>
COCKTAIL GLASS,<ed><a0><bc><ed><bd><b8>,<f0><9f><8d><b8>
COLLISION SYMBOL,<ed><a0><bd><ed><b2><a5>,<f0><9f><92><a5>
CONFETTI BALL,<ed><a0><bc><ed><be><8a>,<f0><9f><8e><8a>
CONFOUNDED FACE,<ed><a0><bd><ed><b8><96>,<f0><9f><98><96>
CONFUSED FACE,<ed><a0><bd><ed><b8><95>,<f0><9f><98><95>
CONSTRUCTION SIGN,<ed><a0><bd><ed><ba><a7>,<f0><9f><9a><a7>
CONSTRUCTION WORKER,<ed><a0><bd><ed><b1><b7>,<f0><9f><91><b7>
CONVENIENCE STORE,<ed><a0><bc><ed><bf><aa>,<f0><9f><8f><aa>
COOKED RICE,<ed><a0><bc><ed><bd><9a>,<f0><9f><8d><9a>
COOKIE,<ed><a0><bc><ed><bd><aa>,<f0><9f><8d><aa>
COOKING,<ed><a0><bc><ed><bd><b3>,<f0><9f><8d><b3>
COPYRIGHT SIGN,<c2><a9>,<c2><a9>
COUPLE WITH HEART,<ed><a0><bd><ed><b2><91>,<f0><9f><92><91>
COW,<ed><a0><bd><ed><b0><84>,<f0><9f><90><84>
COW FACE,<ed><a0><bd><ed><b0><ae>,<f0><9f><90><ae>
CREDIT CARD,<ed><a0><bd><ed><b2><b3>,<f0><9f><92><b3>
CRESCENT MOON,<ed><a0><bc><ed><bc><99>,<f0><9f><8c><99>
CROCODILE,<ed><a0><bd><ed><b0><8a>,<f0><9f><90><8a>
CROSS MARK,<e2><9d><8c>,<e2><9d><8c>
CROSSED FLAGS,<ed><a0><bc><ed><be><8c>,<f0><9f><8e><8c>
CROWN,<ed><a0><bd><ed><b1><91>,<f0><9f><91><91>
CRYING CAT FACE,<ed><a0><bd><ed><b8><bf>,<f0><9f><98><bf>
CRYING FACE,<ed><a0><bd><ed><b8><a2>,<f0><9f><98><a2>
CRYSTAL BALL,<ed><a0><bd><ed><b4><ae>,<f0><9f><94><ae>
CURLY LOOP,<e2><9e><b0>,<e2><9e><b0>
CURRENCY EXCHANGE,<ed><a0><bd><ed><b2><b1>,<f0><9f><92><b1>
CURRY AND RICE,<ed><a0><bc><ed><bd><9b>,<f0><9f><8d><9b>
CUSTARD,<ed><a0><bc><ed><bd><ae>,<f0><9f><8d><ae>
CUSTOMS,<ed><a0><bd><ed><bb><83>,<f0><9f><9b><83>
CYCLONE,<ed><a0><bc><ed><bc><80>,<f0><9f><8c><80>
DANCER,<ed><a0><bd><ed><b2><83>,<f0><9f><92><83>
DANGO,<ed><a0><bc><ed><bd><a1>,<f0><9f><8d><a1>
DASH SYMBOL,<ed><a0><bd><ed><b2><a8>,<f0><9f><92><a8>
DECIDUOUS TREE,<ed><a0><bc><ed><bc><b3>,<f0><9f><8c><b3>
DELIVERY TRUCK,<ed><a0><bd><ed><ba><9a>,<f0><9f><9a><9a>
DEPARTMENT STORE,<ed><a0><bc><ed><bf><ac>,<f0><9f><8f><ac>
DIAMOND SHAPE WITH A DOT INSIDE,<ed><a0><bd><ed><b2><a0>,<f0><9f><92><a0>
DIGIT EIGHT + COMBINING ENCLOSING KEYCAP,8<e2><83><a3>,<38><e2><83><a3>
DIGIT FIVE + COMBINING ENCLOSING KEYCAP,5<e2><83><a3>,<35><e2><83><a3>
DIGIT FOUR + COMBINING ENCLOSING KEYCAP,4<e2><83><a3>,<34><e2><83><a3>
DIGIT NINE + COMBINING ENCLOSING KEYCAP,9<e2><83><a3>,<39><e2><83><a3>
DIGIT ONE + COMBINING ENCLOSING KEYCAP,1<e2><83><a3>,<31><e2><83><a3>
DIGIT SEVEN + COMBINING ENCLOSING KEYCAP,7<e2><83><a3>,<37><e2><83><a3>
DIGIT SIX + COMBINING ENCLOSING KEYCAP,6<e2><83><a3>,<36><e2><83><a3>
DIGIT THREE + COMBINING ENCLOSING KEYCAP,3<e2><83><a3>,<33><e2><83><a3>
DIGIT TWO + COMBINING ENCLOSING KEYCAP,2<e2><83><a3>,<32><e2><83><a3>
DIGIT ZERO + COMBINING ENCLOSING KEYCAP,0<e2><83><a3>,<30><e2><83><a3>
DIRECT HIT,<ed><a0><bc><ed><be><af>,<f0><9f><8e><af>
DISAPPOINTED BUT RELIEVED FACE,<ed><a0><bd><ed><b8><a5>,<f0><9f><98><a5>
DISAPPOINTED FACE,<ed><a0><bd><ed><b8><9e>,<f0><9f><98><9e>
DIZZY FACE,<ed><a0><bd><ed><b8><b5>,<f0><9f><98><b5>
DIZZY SYMBOL,<ed><a0><bd><ed><b2><ab>,<f0><9f><92><ab>
DO NOT LITTER SYMBOL,<ed><a0><bd><ed><ba><af>,<f0><9f><9a><af>
DOG,<ed><a0><bd><ed><b0><95>,<f0><9f><90><95>
DOG FACE,<ed><a0><bd><ed><b0><b6>,<f0><9f><90><b6>
DOLPHIN,<ed><a0><bd><ed><b0><ac>,<f0><9f><90><ac>
DOOR,<ed><a0><bd><ed><ba><aa>,<f0><9f><9a><aa>
DOUBLE EXCLAMATION MARK,<e2><80><bc>,<e2><80><bc>
DOUGHNUT,<ed><a0><bc><ed><bd><a9>,<f0><9f><8d><a9>
DOWN-POINTING RED TRIANGLE,<ed><a0><bd><ed><b4><bb>,<f0><9f><94><bb>
DOWN-POINTING SMALL RED TRIANGLE,<ed><a0><bd><ed><b4><bd>,<f0><9f><94><bd>
DOWNWARDS BLACK ARROW,<e2><ac><87>,<e2><ac><87>
DRAGON,<ed><a0><bd><ed><b0><89>,<f0><9f><90><89>
DRAGON FACE,<ed><a0><bd><ed><b0><b2>,<f0><9f><90><b2>
DRESS,<ed><a0><bd><ed><b1><97>,<f0><9f><91><97>
DROMEDARY CAMEL,<ed><a0><bd><ed><b0><aa>,<f0><9f><90><aa>
DROPLET,<ed><a0><bd><ed><b2><a7>,<f0><9f><92><a7>
DVD,<ed><a0><bd><ed><b3><80>,<f0><9f><93><80>
E-MAIL SYMBOL,<ed><a0><bd><ed><b3><a7>,<f0><9f><93><a7>
EAR,<ed><a0><bd><ed><b1><82>,<f0><9f><91><82>
EAR OF MAIZE,<ed><a0><bc><ed><bc><bd>,<f0><9f><8c><bd>
EAR OF RICE,<ed><a0><bc><ed><bc><be>,<f0><9f><8c><be>
EARTH GLOBE AMERICAS,<ed><a0><bc><ed><bc><8e>,<f0><9f><8c><8e>
EARTH GLOBE ASIA-AUSTRALIA,<ed><a0><bc><ed><bc><8f>,<f0><9f><8c><8f>
EARTH GLOBE EUROPE-AFRICA,<ed><a0><bc><ed><bc><8d>,<f0><9f><8c><8d>
EIGHT POINTED BLACK STAR,<e2><9c><b4>,<e2><9c><b4>
EIGHT SPOKED ASTERISK,<e2><9c><b3>,<e2><9c><b3>
ELECTRIC LIGHT BULB,<ed><a0><bd><ed><b2><a1>,<f0><9f><92><a1>
ELECTRIC PLUG,<ed><a0><bd><ed><b4><8c>,<f0><9f><94><8c>
ELECTRIC TORCH,<ed><a0><bd><ed><b4><a6>,<f0><9f><94><a6>
ELEPHANT,<ed><a0><bd><ed><b0><98>,<f0><9f><90><98>
END WITH LEFTWARDS ARROW ABOVE,<ed><a0><bd><ed><b4><9a>,<f0><9f><94><9a>
ENVELOPE,<e2><9c><89>,<e2><9c><89>
ENVELOPE WITH DOWNWARDS ARROW ABOVE,<ed><a0><bd><ed><b3><a9>,<f0><9f><93><a9>
EUROPEAN CASTLE,<ed><a0><bc><ed><bf><b0>,<f0><9f><8f><b0>
EUROPEAN POST OFFICE,<ed><a0><bc><ed><bf><a4>,<f0><9f><8f><a4>
EVERGREEN TREE,<ed><a0><bc><ed><bc><b2>,<f0><9f><8c><b2>
EXCLAMATION QUESTION MARK,<e2><81><89>,<e2><81><89>
EXPRESSIONLESS FACE,<ed><a0><bd><ed><b8><91>,<f0><9f><98><91>
EXTRATERRESTRIAL ALIEN,<ed><a0><bd><ed><b1><bd>,<f0><9f><91><bd>
EYEGLASSES,<ed><a0><bd><ed><b1><93>,<f0><9f><91><93>
EYES,<ed><a0><bd><ed><b1><80>,<f0><9f><91><80>
FACE MASSAGE,<ed><a0><bd><ed><b2><86>,<f0><9f><92><86>
FACE SAVOURING DELICIOUS FOOD,<ed><a0><bd><ed><b8><8b>,<f0><9f><98><8b>
FACE SCREAMING IN FEAR,<ed><a0><bd><ed><b8><b1>,<f0><9f><98><b1>
FACE THROWING A KISS,<ed><a0><bd><ed><b8><98>,<f0><9f><98><98>
FACE WITH COLD SWEAT,<ed><a0><bd><ed><b8><93>,<f0><9f><98><93>
FACE WITH LOOK OF TRIUMPH,<ed><a0><bd><ed><b8><a4>,<f0><9f><98><a4>
FACE WITH MEDICAL MASK,<ed><a0><bd><ed><b8><b7>,<f0><9f><98><b7>
FACE WITH NO GOOD GESTURE,<ed><a0><bd><ed><b9><85>,<f0><9f><99><85>
FACE WITH OK GESTURE,<ed><a0><bd><ed><b9><86>,<f0><9f><99><86>
FACE WITH OPEN MOUTH,<ed><a0><bd><ed><b8><ae>,<f0><9f><98><ae>
FACE WITH OPEN MOUTH AND COLD SWEAT,<ed><a0><bd><ed><b8><b0>,<f0><9f><98><b0>
FACE WITH STUCK-OUT TONGUE,<ed><a0><bd><ed><b8><9b>,<f0><9f><98><9b>
FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES,<ed><a0><bd><ed><b8><9d>,<f0><9f><98><9d>
FACE WITH STUCK-OUT TONGUE AND WINKING EYE,<ed><a0><bd><ed><b8><9c>,<f0><9f><98><9c>
FACE WITH TEARS OF JOY,<ed><a0><bd><ed><b8><82>,<f0><9f><98><82>
FACE WITHOUT MOUTH,<ed><a0><bd><ed><b8><b6>,<f0><9f><98><b6>
FACTORY,<ed><a0><bc><ed><bf><ad>,<f0><9f><8f><ad>
FALLEN LEAF,<ed><a0><bc><ed><bd><82>,<f0><9f><8d><82>
FAMILY,<ed><a0><bd><ed><b1><aa>,<f0><9f><91><aa>
FATHER CHRISTMAS,<ed><a0><bc><ed><be><85>,<f0><9f><8e><85>
FAX MACHINE,<ed><a0><bd><ed><b3><a0>,<f0><9f><93><a0>
FEARFUL FACE,<ed><a0><bd><ed><b8><a8>,<f0><9f><98><a8>
FERRIS WHEEL,<ed><a0><bc><ed><be><a1>,<f0><9f><8e><a1>
FILE FOLDER,<ed><a0><bd><ed><b3><81>,<f0><9f><93><81>
FIRE,<ed><a0><bd><ed><b4><a5>,<f0><9f><94><a5>
FIRE ENGINE,<ed><a0><bd><ed><ba><92>,<f0><9f><9a><92>
FIREWORK SPARKLER,<ed><a0><bc><ed><be><87>,<f0><9f><8e><87>
FIREWORKS,<ed><a0><bc><ed><be><86>,<f0><9f><8e><86>
FIRST QUARTER MOON SYMBOL,<ed><a0><bc><ed><bc><93>,<f0><9f><8c><93>
FIRST QUARTER MOON WITH FACE,<ed><a0><bc><ed><bc><9b>,<f0><9f><8c><9b>
FISH,<ed><a0><bd><ed><b0><9f>,<f0><9f><90><9f>
FISH CAKE WITH SWIRL DESIGN,<ed><a0><bc><ed><bd><a5>,<f0><9f><8d><a5>
FISHING POLE AND FISH,<ed><a0><bc><ed><be><a3>,<f0><9f><8e><a3>
FISTED HAND SIGN,<ed><a0><bd><ed><b1><8a>,<f0><9f><91><8a>
FLAG IN HOLE,<e2><9b><b3>,<e2><9b><b3>
FLEXED BICEPS,<ed><a0><bd><ed><b2><aa>,<f0><9f><92><aa>
FLOPPY DISK,<ed><a0><bd><ed><b2><be>,<f0><9f><92><be>
FLOWER PLAYING CARDS,<ed><a0><bc><ed><be><b4>,<f0><9f><8e><b4>
FLUSHED FACE,<ed><a0><bd><ed><b8><b3>,<f0><9f><98><b3>
FOGGY,<ed><a0><bc><ed><bc><81>,<f0><9f><8c><81>
FOOTPRINTS,<ed><a0><bd><ed><b1><a3>,<f0><9f><91><a3>
FORK AND KNIFE,<ed><a0><bc><ed><bd><b4>,<f0><9f><8d><b4>
FOUNTAIN,<e2><9b><b2>,<e2><9b><b2>
FOUR LEAF CLOVER,<ed><a0><bc><ed><bd><80>,<f0><9f><8d><80>
FRENCH FRIES,<ed><a0><bc><ed><bd><9f>,<f0><9f><8d><9f>
FRIED SHRIMP,<ed><a0><bc><ed><bd><a4>,<f0><9f><8d><a4>
FROG FACE,<ed><a0><bd><ed><b0><b8>,<f0><9f><90><b8>
FRONT-FACING BABY CHICK,<ed><a0><bd><ed><b0><a5>,<f0><9f><90><a5>
FROWNING FACE WITH OPEN MOUTH,<ed><a0><bd><ed><b8><a6>,<f0><9f><98><a6>
FUEL PUMP,<e2><9b><bd>,<e2><9b><bd>
FULL MOON SYMBOL,<ed><a0><bc><ed><bc><95>,<f0><9f><8c><95>
